date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
16/06/15,>90th,<75th,>75th,293,0,NOBH,NA,,H,NE,5.7,12.2,NA,NA,18,14,39.6,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
18/06/15,<75th,<75th,<75th,295,0,NOBH,NA,,W,W,6,13.6,1349,NA,9,5,25.2,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
23/06/15,>95th,<75th,<75th,300,0,NOBH,NA,,T,SW,1.4,9.4,NA,NA,13,7,42.8,NA,NA,SP1,,NA,NA,NA,2015,through
24/06/15,>95th,<75th,<75th,301,0,NOBH,NA,,SW,NE,7.2,10.6,292,NA,16,11,43.1,NA,NA,SP1,,NA,NA,NA,2015,through
25/06/15,>75th,<75th,<75th,302,0,NOBH,NA,,HNW,NE,10.9,12,1008,NA,11,8,39.1,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
26/06/15,<75th,<75th,<75th,303,0,NOBH,NA,,H,N,2.3,15.4,891,NA,9,6,27.1,NA,NA,SP2?,DRY,NA,NA,NA,2015,zonal
27/06/15,<75th,<75th,<75th,304,0,NOBH,NA,,H,NW,4.1,14.9,1188,NA,9,7,16.6,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
28/06/15,<75th,<75th,<75th,305,0,NOBH,NA,,W,SW,10.8,14.2,906,NA,13,9,17.3,NA,NA,SP1,,NA,NA,NA,2015,zonal
29/06/15,<75th,<75th,<75th,306,0,NOBH,NA,,W,NW,1.2,15.1,570,NA,11,8,19.2,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
30/06/15,<75th,<75th,<75th,307,0,NOBH,NA,,HNW,NE,8.1,15,959,NA,14,10,23.9,NA,NA,UP,,NA,NA,NA,2015,zonal
1/07/15,<75th,<75th,<75th,308,0,NOBH,NA,,W,N,3.1,14.8,1140,NA,14,9,31.3,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
