'date','station','tair','twet','rh','tdew'
'2012-07-01 12:00:00',22719,12.3,'''"9"''','''"62"''','''"5.2"'''
'2012-07-02 12:00:00',22719,11.1,'''"8.4"''','''"67"''','''"5.2"'''
'2012-07-03 12:00:00',22719,12.6,'''"10.7"''','''"78"''','''"8.9"'''
'2012-07-04 12:00:00',22719,13.8,'''"12.8"''','''"88"''','''"11.9"'''
'2012-07-05 12:00:00',22719,9,'''"8.7"''','''"96"''','''"8.4"'''
'2012-07-06 12:00:00',22719,10.6,'''"9.7"''','''"88"''','''"8.7"'''
'2012-07-07 12:00:00',22719,11.7,'''"9"''','''"68"''','''"6"'''
'2012-07-08 12:00:00',22719,10.4,'''"7.8"''','''"67"''','''"4.6"'''
'2012-07-09 12:00:00',22719,10.9,'''"8.8"''','''"74"''','''"6.5"'''
'2012-07-10 12:00:00',22719,10.9,'''"8.6"''','''"72"''','''"6.1"'''
'2012-07-11 12:00:00',22719,10.8,'''"9.7"''','''"86"''','''"8.6"'''
'2012-07-12 12:00:00',22719,13.2,'''"9.1"''','''"54"''','''"4.1"'''
'2012-07-13 12:00:00',22719,13.8,'''"9.2"''','''"50"''','''"3.6"'''
'2012-07-14 12:00:00',22719,15.3,'''"11.4"''','''"60"''','''"7.6"'''
'2012-07-15 12:00:00',22719,14.2,'''"13.1"''','''"88"''','''"12.3"'''
'2012-07-16 12:00:00',22719,14.8,'''"14.2"''','''"93"''','''"13.7"'''
'2012-07-17 12:00:00',22719,14,'''"11.2"''','''"69"''','''"8.4"'''
'2012-07-18 12:00:00',22719,13.2,'''"10.5"''','''"69"''','''"7.6"'''
'2012-07-19 12:00:00',22719,9.4,'''"9"''','''"94"''','''"8.5"'''
'2012-07-20 12:00:00',22719,15.8,'''"11.9"''','''"60"''','''"8.1"'''
'2012-07-21 12:00:00',22719,15,'''"11.2"''','''"60"''','''"7.3"'''
'2012-07-22 12:00:00',22719,13.8,'''"13"''','''"91"''','''"12.4"'''
'2012-07-23 12:00:00',22719,16.2,'''"15.3"''','''"90"''','''"14.6"'''
'2012-07-24 12:00:00',22719,14.8,'''"14.2"''','''"93"''','''"13.7"'''
'2012-07-25 12:00:00',22719,15.2,'''"14"''','''"87"''','''"13.1"'''
'2012-07-26 12:00:00',22719,14.3,'''"10.4"''','''"58"''','''"6.2"'''
'2012-07-27 12:00:00',22719,12.6,'''"8.8"''','''"57"''','''"4.3"'''
'2012-07-28 12:00:00',22719,13.6,'''"10.1"''','''"61"''','''"6.3"'''
'2012-07-29 12:00:00',22719,13.4,'''"11.4"''','''"77"''','''"9.5"'''
'2012-07-30 12:00:00',22719,14,'''"12.6"''','''"84"''','''"11.4"'''
'2012-07-31 12:00:00',22719,12,'''"9.7"''','''"73"''','''"7.3"'''
'2012-08-01 12:00:00',22719,14.3,'''"11.7"''','''"71"''','''"9.1"'''
'2012-08-02 12:00:00',22719,13.8,'''"11.8"''','''"78"''','''"10"'''
'2012-08-03 12:00:00',22719,15.4,'''"12"''','''"65"''','''"8.9"'''
'2012-08-04 12:00:00',22719,16.2,'''"12.5"''','''"63"''','''"9.2"'''
'2012-08-05 12:00:00',22719,13.4,'''"11.3"''','''"76"''','''"9.3"'''
'2012-08-06 12:00:00',22719,16.1,'''"13"''','''"68"''','''"10.2"'''
'2012-08-07 12:00:00',22719,14.4,'''"12"''','''"74"''','''"9.8"'''
'2012-08-08 12:00:00',22719,9.8,'''"8.7"''','''"85"''','''"7.4"'''
'2012-08-09 12:00:00',22719,13.6,'''"10.5"''','''"65"''','''"7.2"'''
'2012-08-10 12:00:00',22719,15.9,'''"11.5"''','''"56"''','''"7.2"'''
'2012-08-11 12:00:00',22719,15.2,'''"12.3"''','''"69"''','''"9.6"'''
'2012-08-12 12:00:00',22719,15,'''"13.3"''','''"82"''','''"12"'''
'2012-08-13 12:00:00',22719,17.4,'''"13.7"''','''"64"''','''"10.5"'''
'2012-08-14 12:00:00',22719,14.3,'''"11.8"''','''"73"''','''"9.5"'''
'2012-08-15 12:00:00',22719,15.8,'''"12.5"''','''"66"''','''"9.5"'''
'2012-08-16 12:00:00',22719,15,'''"12.2"''','''"70"''','''"9.6"'''
'2012-08-17 12:00:00',22719,14.3,'''"11.4"''','''"68"''','''"8.5"'''
'2012-08-18 12:00:00',22719,16.9,'''"13.8"''','''"69"''','''"11.2"'''
'2012-08-19 12:00:00',22719,15.2,'''"13.2"''','''"78"''','''"11.4"'''
'2012-08-20 12:00:00',22719,15.9,'''"12.9"''','''"69"''','''"10.2"'''
'2012-08-21 12:00:00',22719,13.9,'''"11.8"''','''"77"''','''"9.9"'''
'2012-08-22 12:00:00',22719,15.6,'''"12"''','''"63"''','''"8.6"'''
'2012-08-23 12:00:00',22719,14.4,'''"11.6"''','''"70"''','''"9"'''
